host,description,principal name,principal type,local username,keytab file path,keytab file owner,keytab file owner access,keytab file group,keytab file group access,keytab file mode,keytab file installed
a01-r03-i164-154-515w92j.jd.local,ambari-server_spnego,HTTP/a01-r03-i164-154-515w92j.jd.local@POLARIS.JD.COM,SERVICE,,/etc/security/keytabs/spnego.service.keytab,root,r,hadoop,r,440,unknown
a01-r03-i164-154-515w92j.jd.local,ambari-server,ambari-server-pss_cloud_dev@POLARIS.JD.COM,USER,,/etc/security/keytabs/ambari.server.keytab,,r,,,400,unknown
a01-r03-i164-156-515w9ay.jd.local,ambari_infra_spnego,HTTP/a01-r03-i164-156-515w9ay.jd.local@POLARIS.JD.COM,SERVICE,,/etc/security/keytabs/spnego.service.keytab,root,r,hadoop,r,440,unknown
a01-r03-i164-156-515w9ay.jd.local,accumulo,accumulo-pss_cloud_dev@POLARIS.JD.COM,USER,accumulo,/etc/security/keytabs/accumulo.headless.keytab,accumulo,r,hadoop,r,440,unknown
a01-r03-i164-156-515w9ay.jd.local,accumulo_service,accumulo/a01-r03-i164-156-515w9ay.jd.local@POLARIS.JD.COM,SERVICE,accumulo,/etc/security/keytabs/accumulo.service.keytab,accumulo,r,hadoop,,400,unknown
a01-r03-i164-156-515w9ay.jd.local,activity_analyzer,activity_analyzer/a01-r03-i164-156-515w9ay.jd.local@POLARIS.JD.COM,SERVICE,activity_analyzer,/etc/security/keytabs/activity-analyzer.headless.keytab,,r,,,400,unknown
a01-r03-i164-156-515w9ay.jd.local,activity_explorer,activity_explorer/a01-r03-i164-156-515w9ay.jd.local@POLARIS.JD.COM,SERVICE,activity_explorer,/etc/security/keytabs/activity-explorer.headless.keytab,,r,,,400,unknown
a01-r03-i164-156-515w9ay.jd.local,accumulo_smokeuser,ambari-qa-pss_cloud_dev@POLARIS.JD.COM,USER,ambari-qa,/etc/security/keytabs/smokeuser.headless.keytab,ambari-qa,r,hadoop,r,440,unknown
a01-r03-i164-156-515w9ay.jd.local,atlas,atlas/a01-r03-i164-156-515w9ay.jd.local@POLARIS.JD.COM,SERVICE,atlas,/etc/security/keytabs/atlas.service.keytab,atlas,r,hadoop,,400,unknown
a01-r03-i164-156-515w9ay.jd.local,datanode_dn,dn/a01-r03-i164-156-515w9ay.jd.local@POLARIS.JD.COM,SERVICE,hdfs,/etc/security/keytabs/dn.service.keytab,hdfs,r,hadoop,,400,unknown
